,車種,車次,始發站,終點站,出發時間,抵達時間,行駛時間,經由,詳細資訊,全票,孩童票,敬老票,訂票
63,自強,135,七堵,屏東,14:28,14:56,28 分,山線,詳細,$ 51,$ 26,$ 26,訂票
64,區間,2223,基隆,嘉義,14:41,15:12,31 分,山線,詳細,$ 33,$ 17,$ 17,
65,區間,1207,基隆,苗栗,14:55,15:25,30 分,山線,詳細,$ 33,$ 17,$ 17,
66,區間,4177,花蓮,樹林,15:01,15:31,30 分,-,詳細,$ 33,$ 17,$ 17,
67,區間,1211,基隆,新竹,15:08,15:45,37 分,-,詳細,$ 33,$ 17,$ 17,
68,普悠瑪,273,花蓮,彰化,15:20,15:41,21 分,山線,詳細,$ 51,$ 26,$ 26,訂票
69,區間,2233,瑞芳,嘉義,15:23,16:01,38 分,山線,詳細,$ 33,$ 17,$ 17,
70,自強,175,花蓮,潮州,15:33,15:56,23 分,山線,詳細,$ 51,$ 26,$ 26,訂票
71,莒光,521,七堵,潮州,15:39,16:06,27 分,海線,詳細,$ 39,$ 20,$ 20,訂票
72,區間,1217,基隆,苗栗,15:48,16:18,30 分,山線,詳細,$ 33,$ 17,$ 17,
73,區間,4183,蘇澳,北湖,16:02,16:32,30 分,-,詳細,$ 33,$ 17,$ 17,
74,區間,1221,基隆,新竹,16:14,16:44,30 分,-,詳細,$ 33,$ 17,$ 17,
75,自強,139,七堵,潮州,16:21,16:56,35 分,山線,詳細,$ 51,$ 26,$ 26,訂票
76,區間,2243,瑞芳,嘉義,16:33,17:03,30 分,山線,詳細,$ 33,$ 17,$ 17,
77,區間,1227,基隆,苗栗,16:40,17:10,30 分,山線,詳細,$ 33,$ 17,$ 17,
78,區間快,2033,七堵,彰化,16:50,17:19,29 分,海線,詳細,$ 33,$ 17,$ 17,
79,區間,1231,基隆,新竹,16:55,17:30,35 分,-,詳細,$ 33,$ 17,$ 17,
80,自強,141,七堵,潮州,17:00,17:25,25 分,山線,詳細,$ 51,$ 26,$ 26,訂票
81,區間,4191,蘇澳,桃園,17:04,17:41,37 分,-,詳細,$ 33,$ 17,$ 17,
82,自強,177,花蓮,斗南,17:10,17:37,27 分,山線,詳細,$ 51,$ 26,$ 26,訂票
83,區間,1233,基隆,湖口,17:15,17:46,31 分,-,詳細,$ 33,$ 17,$ 17,
84,自強3000,183,花蓮,潮州,17:33,17:56,23 分,山線,詳細,$ 51,$ 26,$ 26,訂票
85,區間,1235,基隆,新竹,17:36,18:13,37 分,-,詳細,$ 33,$ 17,$ 17,
86,自強3000,145,七堵,潮州,17:41,18:09,28 分,海線,詳細,$ 51,$ 26,$ 26,訂票
87,區間,4193,蘇澳,樹林,17:45,18:17,32 分,-,詳細,$ 33,$ 17,$ 17,
88,區間快,4029,花蓮,湖口,17:54,18:30,36 分,-,詳細,$ 33,$ 17,$ 17,
89,自強3000,477,臺東,員林,18:00,18:22,22 分,山線,詳細,$ 51,$ 26,$ 26,訂票
90,區間,1237,基隆,苗栗,18:03,18:35,32 分,山線,詳細,$ 33,$ 17,$ 17,
91,區間快,2037,七堵,臺中,18:10,18:41,31 分,山線,詳細,$ 33,$ 17,$ 17,
92,區間,1243,基隆,湖口,18:16,18:46,30 分,-,詳細,$ 33,$ 17,$ 17,
93,區間,4197,蘇澳,樹林,18:21,18:51,30 分,-,詳細,$ 33,$ 17,$ 17,
94,自強,149,基隆,潮州,18:26,18:55,29 分,山線,詳細,$ 51,$ 26,$ 26,訂票
95,區間,1241,基隆,竹南,18:30,19:00,30 分,-,詳細,$ 33,$ 17,$ 17,
96,莒光,653,臺東,彰化,18:43,19:12,29 分,海線,詳細,$ 39,$ 20,$ 20,訂票
97,區間,1247,基隆,苗栗,18:50,19:20,30 分,山線,詳細,$ 33,$ 17,$ 17,
98,自強,181,花蓮,屏東,19:00,19:25,25 分,山線,詳細,$ 51,$ 26,$ 26,訂票
99,區間,1251,基隆,新竹,19:07,19:39,32 分,-,詳細,$ 33,$ 17,$ 17,
100,區間,1253,基隆,湖口,19:27,19:57,30 分,-,詳細,$ 33,$ 17,$ 17,
101,區間,4209,福隆,中壢,19:32,20:07,35 分,-,詳細,$ 33,$ 17,$ 17,
102,自強3000,283,壽豐,斗六,19:50,20:12,22 分,山線,詳細,$ 51,$ 26,$ 26,訂票
103,區間,1257,基隆,三義,19:57,20:27,30 分,山線,詳細,$ 33,$ 17,$ 17,
104,區間,4211,蘇澳,樹林,20:02,20:38,36 分,-,詳細,$ 33,$ 17,$ 17,
105,普悠瑪,285,花蓮,彰化,20:10,20:32,22 分,海線,詳細,$ 51,$ 26,$ 26,訂票
106,區間,1261,基隆,中壢,20:13,20:43,30 分,-,詳細,$ 33,$ 17,$ 17,
107,區間,4215,瑞芳,樹林,20:21,20:51,30 分,-,詳細,$ 33,$ 17,$ 17,
108,自強,155,七堵,彰化,20:28,20:56,28 分,山線,詳細,$ 51,$ 26,$ 26,訂票
109,區間,1263,基隆,新竹,20:32,21:02,30 分,-,詳細,$ 33,$ 17,$ 17,
110,區間,4221,蘇澳,北湖,20:37,21:07,30 分,-,詳細,$ 33,$ 17,$ 17,
111,區間,1271,基隆,北湖,20:50,21:21,31 分,-,詳細,$ 33,$ 17,$ 17,
112,自強,157,七堵,苗栗,21:05,21:37,32 分,山線,詳細,$ 51,$ 26,$ 26,訂票
113,區間,1267,基隆,苗栗,21:13,21:43,30 分,山線,詳細,$ 33,$ 17,$ 17,
114,區間,4225,福隆,北湖,21:28,21:58,30 分,-,詳細,$ 33,$ 17,$ 17,
115,區間,1273,基隆,新竹,21:39,22:09,30 分,-,詳細,$ 33,$ 17,$ 17,
116,區間,4235,宜蘭,北湖,21:51,22:21,30 分,-,詳細,$ 33,$ 17,$ 17,
117,區間,1281,基隆,新竹,22:06,22:37,31 分,-,詳細,$ 33,$ 17,$ 17,
118,區間,1283,基隆,楊梅,22:34,23:04,30 分,-,詳細,$ 33,$ 17,$ 17,
119,區間,4241,南澳,樹林,22:43,23:13,30 分,-,詳細,$ 33,$ 17,$ 17,
120,區間,1287,基隆,中壢,22:57,23:27,30 分,-,詳細,$ 33,$ 17,$ 17,
121,區間,1289,基隆,樹林,23:17,23:47,30 分,-,詳細,$ 33,$ 17,$ 17,
122,區間快,4039,花蓮,樹林,23:27,23:54,27 分,-,詳細,$ 33,$ 17,$ 17,
123,太魯閣,447,臺東,樹林,23:52,00:12,20 分,-,詳細,$ 51,$ 26,$ 26,訂票
